"TripID","TripStartDate","Periodo5","CountryVisited","presidente_origen","ideology_origen","Mandato_asignado_inicio","Mandato_asignado_fin","ideology_destino","presidente_destino","bloque_origen","bloque_destino","misma_ideologia"
"1826-ARG-BOL-38190",2004-07-22,2000,"Bolivia","Nestor Carlos Kirchner",2.79999995231628,2003-10-17,2005-06-09,4.5,"Carlos Diego Mesa Gisbert","Izquierda","Centro",FALSE
"1826-ARG-VEN-38192",2004-07-24,2000,"Venezuela","Nestor Carlos Kirchner",2.79999995231628,2000-08-19,2007-01-10,1.62999999523163,"Hugo Chavez2","Izquierda","Izquierda",TRUE
"1826-ARG-BOL-38274",2004-10-14,2000,"Bolivia","Nestor Carlos Kirchner",2.79999995231628,2003-10-17,2005-06-09,4.5,"Carlos Diego Mesa Gisbert","Izquierda","Centro",FALSE
"1826-ARG-CHL-38425",2005-03-14,2005,"Chile","Nestor Carlos Kirchner",2.79999995231628,2000-03-11,2006-03-11,3.5699999332428,"Ricardo Froilin Lagos Escobar","Izquierda","Centro",FALSE
"1826-ARG-URY-38444",2005-04-02,2005,"Uruguay","Nestor Carlos Kirchner",2.79999995231628,2005-03-01,2010-03-01,3,"Tabare Ramon Vazquez Rosas","Izquierda","Centro",FALSE
"1826-ARG-CHL-38513",2005-06-10,2005,"Chile","Nestor Carlos Kirchner",2.79999995231628,2000-03-11,2006-03-11,3.5699999332428,"Ricardo Froilin Lagos Escobar","Izquierda","Centro",FALSE
"1826-ARG-VEN-38677",2005-11-21,2005,"Venezuela","Nestor Carlos Kirchner",2.79999995231628,2000-08-19,2007-01-10,1.62999999523163,"Hugo Chavez2","Izquierda","Izquierda",TRUE
"1826-ARG-BRA-38735",2006-01-18,2005,"Brazil","Nestor Carlos Kirchner",2.79999995231628,2003-01-01,2007-01-01,2.44000005722046,"Luiz Inacio Lula da Silva1","Izquierda","Izquierda",TRUE
"1826-ARG-URY-38812",2006-04-05,2005,"Uruguay","Nestor Carlos Kirchner",2.79999995231628,2005-03-01,2010-03-01,3,"Tabare Ramon Vazquez Rosas","Izquierda","Centro",FALSE
"1826-ARG-PRY-38915",2006-07-17,2005,"Paraguay","Nestor Carlos Kirchner",2.79999995231628,2003-08-15,2008-08-15,3.79999995231628,"Oscar Nicanor Duarte Frutos","Izquierda","Centro",FALSE
"1826-ARG-BOL-39009",2006-10-19,2005,"Bolivia","Nestor Carlos Kirchner",2.79999995231628,2006-01-22,2010-01-22,2.20000004768372,"Juan Evo Morales Ayma1","Izquierda","Izquierda",TRUE
"1826-ARG-VEN-39133",2007-02-20,2005,"Venezuela","Nestor Carlos Kirchner",2.79999995231628,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2320-ARG-VEN-39513",2008-03-06,2005,"Venezuela","Cristina Fernandez1",2.5,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2320-ARG-ECU-39558",2008-04-20,2005,"Ecuador","Cristina Fernandez1",2.5,2007-01-15,2009-08-10,1.83000004291534,"Rafael Vicente Correa Delgado1","Izquierda","Izquierda",TRUE
"2320-ARG-BRA-39697",2008-09-06,2005,"Brazil","Cristina Fernandez1",2.5,2007-01-01,2011-01-01,2.55999994277954,"Luiz Inacio Lula da Silva2","Izquierda","Izquierda",TRUE
"2320-ARG-CHL-39786",2008-12-04,2005,"Chile","Cristina Fernandez1",2.5,2006-03-11,2010-03-11,2.85999989509583,"Veronica Michelle Bachelet Jeria","Izquierda","Izquierda",TRUE
"2320-ARG-VEN-39835",2009-01-22,2005,"Venezuela","Cristina Fernandez1",2.5,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2320-ARG-BRA-39892",2009-03-19,2005,"Brazil","Cristina Fernandez1",2.5,2007-01-01,2011-01-01,2.55999994277954,"Luiz Inacio Lula da Silva2","Izquierda","Izquierda",TRUE
"2320-ARG-VEN-40036",2009-08-11,2005,"Venezuela","Cristina Fernandez1",2.5,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2320-ARG-CHL-40115",2009-10-29,2005,"Chile","Cristina Fernandez1",2.5,2006-03-11,2010-03-11,2.85999989509583,"Veronica Michelle Bachelet Jeria","Izquierda","Izquierda",TRUE
"2320-ARG-BRA-40133",2009-11-16,2005,"Brazil","Cristina Fernandez1",2.5,2007-01-01,2011-01-01,2.55999994277954,"Luiz Inacio Lula da Silva2","Izquierda","Izquierda",TRUE
"2320-ARG-PER-40259",2010-03-22,2010,"Peru","Cristina Fernandez1",2.5,2006-07-28,2011-07-28,5.67000007629395,"Alan Gabriel Ludwig Garcia Perez2","Izquierda","Derecha",FALSE
"2320-ARG-BOL-40263",2010-03-26,2010,"Bolivia","Cristina Fernandez1",2.5,2010-01-22,2015-01-22,2.90000009536743,"Juan Evo Morales Ayma2","Izquierda","Izquierda",TRUE
"2320-ARG-VEN-40287",2010-04-18,2010,"Venezuela","Cristina Fernandez1",2.5,2007-01-10,2013-03-05,1.25,"Hugo Chavez3","Izquierda","Izquierda",TRUE
"2320-ARG-URY-40331",2010-06-02,2010,"Uruguay","Cristina Fernandez1",2.5,2010-03-01,2015-03-01,2.5,"Jose Alberto Mujica Cordano","Izquierda","Izquierda",TRUE
"2320-ARG-BRA-40753",2011-07-29,2010,"Brazil","Cristina Fernandez1",2.5,2011-01-01,2015-01-01,3,"Dilma Rousseff","Izquierda","Centro",FALSE
